species,genus,species_1,family,order,C,S,R,CSR
Potamogeton pusillus,Potamogeton,pusillus,Potamogetonaceae,Alismatales,0.45,42.54,57.01,SR
Potamogeton trichoides,Potamogeton,trichoides,Potamogetonaceae,Alismatales,0,27.07,72.93,R/SR
Ranunculus penicillatus,Ranunculus,penicillatus,Ranunculaceae,Ranunculales,2.23,0,97.77,R
Ranunculus trichophyllus,Ranunculus,trichophyllus,Ranunculaceae,Ranunculales,6.44,23.71,69.85,R/SR
Ruppia cirrhosa,Ruppia,cirrhosa,Ruppiaceae,Alismatales,2.82,21.18,76.01,R/SR
Ruppia maritima,Ruppia,maritima,Ruppiaceae,Alismatales,1.67,20.63,77.71,R/SR
Salvinia natans,Salvinia,natans,Salviniaceae,Salviniales,1.29,0,98.71,R
Sium latifolium,Sium,latifolium,Apiaceae,Apiales,64.16,0,35.84,C/CR
Sparganium emersum,Sparganium,emersum,Typhaceae,Poales,51.14,0,48.86,CR
Spirodela polyrrhiza,Spirodela,polyrrhiza,Araceae,Alismatales,2.03,0,97.97,R
Stratiotes aloides,Stratiotes,aloides,Hydrocharitaceae,Alismatales,57.84,0,42.16,CR
Trapa natans,Trapa,natans,Lythraceae,Myrtales,33.07,41.64,25.29,CSR
Vallisneria americana,Vallisneria,americana,Hydrocharitaceae,Alismatales,68.44,0,31.56,C/CR
Vallisneria spiralis,Vallisneria,spiralis,Hydrocharitaceae,Alismatales,41.11,0,58.89,CR
Veronica beccabunga,Veronica,beccabunga,Plantaginaceae,Lamiales,9.81,0,90.19,R
Wolffia arrhiza,Wolffia,arrhiza,Araceae,Alismatales,0,0,100,R
Senecio nemorensis,Senecio,nemorensis,Asteraceae,Asterales,58.82,0,41.18,CR
Buglossoides arvensis,Buglossoides,arvensis,Boraginaceae,Boraginales,31.68,0,68.32,R/CR
Epilobium angustifolium,Epilobium,angustifolium,Onagraceae,Myrtales,34.64,17.1,48.25,CR/CSR
Hieracium lachenalii,Hieracium,lachenalii,Asteraceae,Asterales,42.55,0,57.45,CR
Laphangium luteoalbum,Laphangium,luteoalbum,Asteraceae,Asterales,9.66,0,90.34,R
Fragaria vesca,Fragaria,vesca,Rosaceae,Rosales,38.58,18.75,42.66,CR/CSR
Cerastium fontanum,Cerastium,fontanum,Caryophyllaceae,Caryophyllales,10.47,12.32,77.21,R/SR
Aceras anthropophorum,Aceras,anthropophorum,Orchidaceae,Asparagales,41.33,0,58.67,CR
Achillea atrata,Achillea,atrata,Asteraceae,Asterales,10.13,25.27,64.6,R/SR
Achillea cartilaginea,Achillea,cartilaginea,Asteraceae,Asterales,23.48,26.19,50.33,R/CSR
Achillea clavennae,Achillea,clavennae,Asteraceae,Asterales,48.55,0,51.45,CR
Achillea macrophylla,Achillea,macrophylla,Asteraceae,Asterales,64.71,0,35.29,C/CR
Achillea moschata,Achillea,moschata,Asteraceae,Asterales,5.8,58.94,35.26,SR
Achillea pannonica,Achillea,pannonica,Asteraceae,Asterales,23.79,76.21,0,S/CS
Acinos arvensis,Acinos,arvensis,Lamiaceae,Lamiales,2.87,50.89,46.23,SR
Aconitum nasutum,Aconitum,nasutum,Ranunculaceae,Ranunculales,47.28,9.32,43.41,CR
Actaea spicata,Actaea,spicata,Ranunculaceae,Ranunculales,60.9,14.82,24.28,C/CSR
Adenostyles alliariae,Adenostyles,alliariae,Asteraceae,Asterales,86.65,0,13.35,C
Adenostyles glabra,Adenostyles,glabra,Asteraceae,Asterales,80.12,0,19.88,C/CR
Adenostyles leucophylla,Adenostyles,leucophylla,Asteraceae,Asterales,54,3.77,42.23,CR
Adoxa moschatellina,Adoxa,moschatellina,Adoxaceae,Dipsacales,30.87,0,69.13,R/CR
Aetheopappus caucasicus,Aetheopappus,caucasicus,Asteraceae,Asterales,40.22,18.14,41.63,CR/CSR
Agalinis brachyphylla,Agalinis,brachyphylla,Orobanchaceae,Lamiales,1.27,98.73,0,S
Agrimonia gryposepala,Agrimonia,gryposepala,Rosaceae,Rosales,14.23,72.93,12.84,S/CS
Agrimonia procera,Agrimonia,procera,Rosaceae,Rosales,54.24,29.86,15.9,C/CSR
Agrimonia pubescens,Agrimonia,pubescens,Rosaceae,Rosales,43.1,45.77,11.13,CS/CSR
Ajuga orientalis,Ajuga,orientalis,Lamiaceae,Lamiales,32.68,42.26,25.06,CSR
Alchemilla alpina,Alchemilla,alpina,Rosaceae,Rosales,15.16,66.94,17.9,S/SR
Alchemilla caucasica,Alchemilla,caucasica,Rosaceae,Rosales,17.28,68.71,14.02,S/CS
Alchemilla pentaphyllea,Alchemilla,pentaphyllea,Rosaceae,Rosales,13.32,44.02,42.67,SR/CSR
Alchemilla subglobosa,Alchemilla,subglobosa,Rosaceae,Rosales,38.56,31.76,29.67,CSR
Alchemilla vulgaris,Alchemilla,vulgaris,Rosaceae,Rosales,37.16,38.99,23.85,CS/CSR
Allium insubricum,Allium,insubricum,Amaryllidaceae,Asparagales,53.35,0,46.65,CR
Allium senescens,Allium,senescens,Amaryllidaceae,Asparagales,49.6,0,50.4,CR
Amaranthus lividus,Amaranthus,lividus,Amaranthaceae,Caryophyllales,17.03,0,82.97,R/CR
Amaranthus powelli,Amaranthus,powelli,Amaranthaceae,Caryophyllales,41.4,17.19,41.41,CR/CSR
Ambrosia coronopifolia,Ambrosia,coronopifolia,Asteraceae,Asterales,16.98,46.45,36.57,SR/CSR
Anacamptis morio,Anacamptis,morio,Orchidaceae,Asparagales,25.74,0,74.26,R/CR
Anacamptis pyramidalis,Anacamptis,pyramidalis,Orchidaceae,Asparagales,44.98,0,55.02,CR
Anagallis foemina,Anagallis,foemina,Primulaceae,Ericales,10.2,0,89.8,R
Androsace albana,Androsace,albana,Primulaceae,Ericales,7.92,41.76,50.32,SR
Androsace lactea,Androsace,lactea,Primulaceae,Ericales,11.9,0,88.1,R
Androsace maxima,Androsace,maxima,Primulaceae,Ericales,10.58,0,89.42,R
Androsace septentrionalis,Androsace,septentrionalis,Primulaceae,Ericales,2.49,0,97.51,R
Androsace vandellii,Androsace,vandellii,Primulaceae,Ericales,0,95.01,4.99,S
Anemone canadensis,Anemone,canadensis,Ranunculaceae,Ranunculales,39.21,38.11,22.68,CS/CSR
Anemone quinquefolia,Anemone,quinquefolia,Ranunculaceae,Ranunculales,38.26,0,61.74,CR
Anemone speciosa,Anemone,speciosa,Ranunculaceae,Ranunculales,42.84,28.83,28.33,CSR
Antennaria carpatica,Antennaria,carpatica,Asteraceae,Asterales,10.02,76.08,13.9,S/SR
Antennaria parvifolia,Antennaria,parvifolia,Asteraceae,Asterales,5.22,75.23,19.55,S/SR
Antennaria plantaginifolia,Antennaria,plantaginifolia,Asteraceae,Asterales,20.45,27.76,51.79,R/CSR
Antennaria rosulata,Antennaria,rosulata,Asteraceae,Asterales,0.61,63.89,35.51,S/SR
Anthemis cretica,Anthemis,cretica,Asteraceae,Asterales,28.87,9.36,61.77,R/CR
Anthemis marschalliana,Anthemis,marschalliana,Asteraceae,Asterales,22.34,54.03,23.63,S/CSR
Cota tinctoria,Cota,tinctoria,Asteraceae,Asterales,15.6,43.45,40.95,SR/CSR
Anthericum ramosum,Anthericum,ramosum,Asparagaceae,Asparagales,45.97,22.17,31.86,CR/CSR
Anthriscus nitida,Anthriscus,nitida,Apiaceae,Apiales,58.86,16.77,24.36,C/CSR
Aphanes inexspectata,Aphanes,inexspectata,Rosaceae,Rosales,9.38,32.67,57.96,R/CSR
Apium inundatum,Apium,inundatum,Apiaceae,Apiales,2.56,0,97.44,R
Apocynum androsaemifolium,Apocynum,androsaemifolium,Apocynaceae,Gentianales,45.58,40.77,13.65,CS/CSR
Aposeris foetida,Aposeris,foetida,Asteraceae,Asterales,39.15,0,60.85,CR
Aquilegia atrata,Aquilegia,atrata,Ranunculaceae,Ranunculales,53.11,3.72,43.17,CR
Aquilegia braunerana,Aquilegia,braunerana,Ranunculaceae,Ranunculales,25.64,34.31,40.05,CSR
Arabis caerulea,Arabis,caerulea,Brassicaceae,Brassicales,4.88,50.46,44.66,SR
Turritis glabra,Turritis,glabra,Brassicaceae,Brassicales,55.59,7.46,36.95,CR
Arabis hirsuta,Arabis,hirsuta,Brassicaceae,Brassicales,4.14,0,95.86,R
Arabis lyrata,Arabis,lyrata,Brassicaceae,Brassicales,11.08,0,88.92,R
Arabis pumila,Arabis,pumila,Brassicaceae,Brassicales,0.34,75.35,24.32,S/SR
Arabis sagittata,Arabis,sagittata,Brassicaceae,Brassicales,28.17,0,71.83,R/CR
Arenaria fendleri,Arenaria,fendleri,Caryophyllaceae,Caryophyllales,1.16,77.98,20.86,S/SR
Arenaria lychnidea,Arenaria,lychnidea,Caryophyllaceae,Caryophyllales,4.41,70.23,25.37,S/SR
Arisaema triphyllum,Arisaema,triphyllum,Araceae,Alismatales,69.12,0,30.88,C/CR
Aristolochia pallida,Aristolochia,pallida,Aristolochiaceae,Piperales,12.9,24.75,62.35,R/CSR
Arnica montana,Arnica,montana,Asteraceae,Asterales,59.07,0,40.93,CR
Artemisia caudata,Artemisia,caudata,Asteraceae,Asterales,29.52,49.24,21.24,S/CSR
Asclepias incarnata,Asclepias,incarnata,Apocynaceae,Gentianales,36.06,28.26,35.69,CSR
Asclepias verticillata,Asclepias,verticillata,Apocynaceae,Gentianales,4.86,42.21,52.93,SR
Asclepias viridis,Asclepias,viridis,Apocynaceae,Gentianales,25.55,72.5,1.95,S/CS
Asperula aristata,Asperula,aristata,Rubiaceae,Gentianales,0.57,49.08,50.35,SR
Asperula cynanchica,Asperula,cynanchica,Rubiaceae,Gentianales,0,56.08,43.92,SR
Asperula tinctoria,Asperula,tinctoria,Rubiaceae,Gentianales,3.34,45.83,50.82,SR
Asplenium septentrionale,Asplenium,septentrionale,Aspleniaceae,Polypodiales,23.38,23.54,53.08,R/CSR
Asplenium trichomanes,Asplenium,trichomanes,Aspleniaceae,Polypodiales,25.75,42.28,31.97,CSR
Asplenium viride,Asplenium,viride,Aspleniaceae,Polypodiales,29.78,8.86,61.36,R/CR
Oclemena acuminata,Oclemena,acuminata,Asteraceae,Asterales,8.39,68.63,22.99,S/SR
Aster alpinus,Aster,alpinus,Asteraceae,Asterales,10.06,60.79,29.15,S/SR
Symphyotrichum dumosum,Symphyotrichum,dumosum,Asteraceae,Asterales,6.16,90.94,2.91,S
Symphyotrichum ericoides,Symphyotrichum,ericoides,Asteraceae,Asterales,8.85,56.67,34.48,SR
Eurybia hemispherica,Eurybia,hemispherica,Asteraceae,Asterales,8.84,83.43,7.73,S
Symphyotrichum laeve,Symphyotrichum,laeve,Asteraceae,Asterales,39.07,33.85,27.09,CSR
Symphyotrichum lanceolatum,Symphyotrichum,lanceolatum,Asteraceae,Asterales,10.93,64.49,24.58,S/SR
Symphyotrichum novae-angliae,Symphyotrichum,novae-angliae,Asteraceae,Asterales,18.02,46.54,35.44,SR/CSR
Symphyotrichum patens,Symphyotrichum,patens,Asteraceae,Asterales,8,83.93,8.07,S
Symphyotrichum pilosum,Symphyotrichum,pilosum,Asteraceae,Asterales,21.76,36.46,41.78,SR/CSR
Symphyotrichum cordifolium,Symphyotrichum,cordifolium,Asteraceae,Asterales,18.87,36.67,44.46,SR/CSR
Tripolium pannonicum,Tripolium,pannonicum,Asteraceae,Asterales,54.38,0,45.62,CR
Doellingeria umbellata,Doellingeria,umbellata,Asteraceae,Asterales,48.65,4.36,46.99,CR
Astragalus alpinus,Astragalus,alpinus,Fabaceae,Fabales,12.23,13.9,73.87,R/SR
Astragalus canadensis,Astragalus,canadensis,Fabaceae,Fabales,36.52,40.18,23.3,CS/CSR
Astragalus frigidus,Astragalus,frigidus,Fabaceae,Fabales,32.72,13.73,53.55,R/CSR
Astragalus humistratus,Astragalus,humistratus,Fabaceae,Fabales,19.37,48.92,31.7,S/CSR
Astragalus rusbyi,Astragalus,rusbyi,Fabaceae,Fabales,28.46,17.18,54.37,R/CSR
Astrantia minor,Astrantia,minor,Apiaceae,Apiales,19.14,31.58,49.29,R/CSR
Athamanta cretensis,Athamanta,cretensis,Apiaceae,Apiales,50.34,49.66,0,CS
Athyrium distentifolium,Athyrium,distentifolium,Woodsiaceae,Polypodiales,62.31,3.61,34.07,C/CR
Athyrium filix-foemina,Athyrium,filix-foemina,Woodsiaceae,Polypodiales,69.03,0,30.97,C/CR
Atriplex calotheca,Atriplex,calotheca,Amaranthaceae,Caryophyllales,50.42,19.21,30.37,C/CSR
Atriplex sagittata,Atriplex,sagittata,Amaranthaceae,Caryophyllales,40.27,29.65,30.07,CSR
Bahia dissecta,Bahia,dissecta,Asteraceae,Asterales,69.43,0,30.57,C/CR
Barbacenia blackii,Barbacenia,blackii,Velloziaceae,Pandanales,45.31,54.69,0,CS
Barbarea bracteosa,Barbarea,bracteosa,Brassicaceae,Brassicales,19.43,0,80.57,R/CR
Bartsia alpina,Bartsia,alpina,Orobanchaceae,Lamiales,7.3,58.53,34.17,SR
Bellidiastrum michelii,Bellidiastrum,michelii,Asteraceae,Asterales,34.37,0,65.63,R/CR
Betonica macrantha,Betonica,macrantha,Lamiaceae,Lamiales,46.11,33.89,20,CS/CSR
Biscutella laevigata,Biscutella,laevigata,Brassicaceae,Brassicales,46.66,0,53.34,CR
Persicaria bistorta,Persicaria,bistorta,Polygonaceae,Caryophyllales,45.39,30.13,24.48,C/CSR
Bistorta vivipara,Bistorta,vivipara,Polygonaceae,Caryophyllales,15.97,60.73,23.3,S/CSR
Blephilia ciliata,Blephilia,ciliata,Lamiaceae,Lamiales,8.38,74.42,17.2,S/SR
Botrychium lunaria,Botrychium,lunaria,Ophioglossaceae,Ophioglossales,25.42,23.85,50.73,R/CSR
Buchnera americana,Buchnera,americana,Orobanchaceae,Lamiales,6.33,79.39,14.28,S/SR
Buglossoides purpurocaerulea,Buglossoides,purpurocaerulea,Boraginaceae,Boraginales,26.86,17.58,55.56,R/CSR
Bupleurum ranunculoides,Bupleurum,ranunculoides,Apiaceae,Apiales,19.34,79.68,0.98,S/CS
Bupleurum stellatum,Bupleurum,stellatum,Apiaceae,Apiales,12.32,60.5,27.18,S/CSR
Arnoglossum plantagineum,Arnoglossum,plantagineum,Asteraceae,Asterales,28.97,71.03,0,S/CS
Calea coronopifolia,Calea,coronopifolia,Asteraceae,Asterales,8.26,91.74,0,S
Campanula barbata,Campanula,barbata,Campanulaceae,Asterales,18.44,28.91,52.65,R/CSR
Campanula cenisia,Campanula,cenisia,Campanulaceae,Asterales,3.7,49.71,46.59,SR
Campanula collina,Campanula,collina,Campanulaceae,Asterales,30.82,35.86,33.32,CSR
Campanula excisa,Campanula,excisa,Campanulaceae,Asterales,0,3.79,96.21,R
Campanula raineri,Campanula,raineri,Campanulaceae,Asterales,22.53,0,77.47,R/CR
Campanula scheuchzeri,Campanula,scheuchzeri,Campanulaceae,Asterales,3.13,52.28,44.59,SR
Campanula spicata,Campanula,spicata,Campanulaceae,Asterales,56.78,0,43.22,CR
Campanula tridentata,Campanula,tridentata,Campanulaceae,Asterales,12.28,60.3,27.42,S/CSR
Cardamine bellidifolia,Cardamine,bellidifolia,Brassicaceae,Brassicales,4.64,0,95.36,R
Cardamine resedifolia,Cardamine,resedifolia,Brassicaceae,Brassicales,3.96,62.41,33.62,S/SR
Arabidopsis arenosa,Arabidopsis,arenosa,Brassicaceae,Brassicales,9.81,24.95,65.24,R/SR
Arabidopsis halleri,Arabidopsis,halleri,Brassicaceae,Brassicales,14.4,14.79,70.81,R/SR
Arabidopsis lyrata,Arabidopsis,lyrata,Brassicaceae,Brassicales,3.88,0,96.12,R
Lepidium draba,Lepidium,draba,Brassicaceae,Brassicales,57.11,0,42.89,CR
Carduus defloratus,Carduus,defloratus,Asteraceae,Asterales,75.03,0,24.97,C/CR
Carum caucasicum,Carum,caucasicum,Apiaceae,Apiales,29.87,55.35,14.77,S/CSR
Carum meifolium,Carum,meifolium,Apiaceae,Apiales,22.88,40.13,36.98,SR/CSR
Castilleja austromontana,Castilleja,austromontana,Orobanchaceae,Lamiales,8.99,64.58,26.42,S/SR
Caulophyllum thalictroides,Caulophyllum,thalictroides,Berberidaceae,Ranunculales,36.5,17.73,45.77,CR/CSR
Cyanus cheiranthifolius,Cyanus,cheiranthifolius,Asteraceae,Asterales,56.97,0,43.03,CR
Centaurea deusta,Centaurea,deusta,Asteraceae,Asterales,51.6,29.85,18.55,C/CSR
Centaurea rhaetica,Centaurea,rhaetica,Asteraceae,Asterales,13.08,49.41,37.5,SR/CSR
Centaurea uniflora,Centaurea,uniflora,Asteraceae,Asterales,18.23,48.72,33.04,SR/CSR
Cephalanthera damasonium,Cephalanthera,damasonium,Orchidaceae,Asparagales,40.77,1.23,58,CR
Cephalanthera longifolia,Cephalanthera,longifolia,Orchidaceae,Asparagales,45.77,0.85,53.38,CR
Cerastium alpinum,Cerastium,alpinum,Caryophyllaceae,Caryophyllales,2.12,26.5,71.37,R/SR
Cerastium cerastoides,Cerastium,cerastoides,Caryophyllaceae,Caryophyllales,0,30.89,69.11,R/SR
Cerastium latifolium,Cerastium,latifolium,Caryophyllaceae,Caryophyllales,16.05,0,83.95,R
Cerastium pedunculatum,Cerastium,pedunculatum,Caryophyllaceae,Caryophyllales,3.56,0,96.44,R
Cerastium purpurascens,Cerastium,purpurascens,Caryophyllaceae,Caryophyllales,18.63,10.59,70.79,R/CR
Cerastium uniflorum,Cerastium,uniflorum,Caryophyllaceae,Caryophyllales,6.61,0,93.39,R
Chaerophyllum roseum,Chaerophyllum,roseum,Apiaceae,Apiales,29.8,45.38,24.82,S/CSR
Chamaesciadium acaule,Chamaesciadium,acaule,Apiaceae,Apiales,14.49,72.56,12.95,S/CS
Chamorchis alpina,Chamorchis,alpina,Orchidaceae,Asparagales,21.36,0,78.64,R/CR
Dysphania ambrosioides,Dysphania,ambrosioides,Amaranthaceae,Caryophyllales,37.18,1.92,60.9,CR
Heterotheca camporum,Heterotheca,camporum,Asteraceae,Asterales,10.28,89.72,0,S
Chrysosplenium alternifolium,Chrysosplenium,alternifolium,Saxifragaceae,Saxifragales,22.27,0,77.73,R/CR
Lactuca racemosa,Lactuca,racemosa,Asteraceae,Asterales,43.02,1.06,55.92,CR
Cicuta virosa,Cicuta,virosa,Apiaceae,Apiales,78.93,0,21.07,C/CR
Cinnamomum glanduliferum,Cinnamomum,glanduliferum,Lauraceae,Laurales,46.86,42.55,10.59,CS
Circaea alpina,Circaea,alpina,Onagraceae,Myrtales,22.95,6.65,70.4,R/CR
Circaea lutetiana,Circaea,lutetiana,Onagraceae,Myrtales,42.8,0,57.2,CR
Cirsium acaulon,Cirsium,acaulon,Asteraceae,Asterales,74.29,7.39,18.32,C/CR
Cirsium alsophilum,Cirsium,alsophilum,Asteraceae,Asterales,82.45,0,17.55,C/CR
Cirsium discolor,Cirsium,discolor,Asteraceae,Asterales,57.07,42.93,0,CS
Cirsium pannonicum,Cirsium,pannonicum,Asteraceae,Asterales,63.48,9.99,26.52,C/CR
Cirsium simplex,Cirsium,simplex,Asteraceae,Asterales,60.12,0,39.88,CR
Cirsium tuberosum,Cirsium,tuberosum,Asteraceae,Asterales,84.5,5.98,9.52,C
Cirsium wheeleri,Cirsium,wheeleri,Asteraceae,Asterales,66.85,33.15,0,C/CS
Claytonia virginica,Claytonia,virginica,Montiaceae,Caryophyllales,26.96,0,73.04,R/CR
Clidemia octona,Clidemia,octona,Melastomataceae,Myrtales,47.95,28.31,23.74,C/CSR
Centaurea benedicta,Centaurea,benedicta,Asteraceae,Asterales,47.48,0,52.52,CR
Cnidium dubium,Cnidium,dubium,Apiaceae,Apiales,36.79,28.97,34.24,CSR
Cochlearia danica,Cochlearia,danica,Brassicaceae,Brassicales,9.56,0,90.44,R
Dactylorhiza viridis,Dactylorhiza,viridis,Orchidaceae,Asparagales,34.6,0,65.4,R/CR
Cologania angustifolia,Cologania,angustifolia,Fabaceae,Fabales,22.97,44.27,32.76,SR/CSR
Commelina petersii,Commelina,petersii,Commelinaceae,Commelinales,31.46,0,68.54,R/CR
Erigeron bonariensis,Erigeron,bonariensis,Asteraceae,Asterales,26.26,56.25,17.49,S/CSR
Coptis trifolia,Coptis,trifolia,Ranunculaceae,Ranunculales,7.72,74.02,18.26,S/SR
Coreopsis palmata,Coreopsis,palmata,Asteraceae,Asterales,14.96,71.65,13.39,S/CS
Coronilla coronata,Coronilla,coronata,Fabaceae,Fabales,38.05,36.35,25.6,CSR
Lepidium coronopus,Lepidium,coronopus,Brassicaceae,Brassicales,2.32,0,97.68,R
Corydalis conorhiza,Corydalis,conorhiza,Papaveraceae,Ranunculales,37.51,15.38,47.11,CR/CSR
Crepis froelichiana,Crepis,froelichiana,Asteraceae,Asterales,37.29,17.77,44.93,CR/CSR
Crepis caucasica,Crepis,caucasica,Asteraceae,Asterales,42.89,0,57.11,CR
Crepis jacquinii,Crepis,jacquinii,Asteraceae,Asterales,17.29,59.53,23.19,S/CSR
Crepis pyrenaica,Crepis,pyrenaica,Asteraceae,Asterales,44.68,11.94,43.38,CR/CSR
Cyanus triumfettii,Cyanus,triumfettii,Asteraceae,Asterales,45.25,0,54.75,CR
Cyrtopodium parviflorum,Cyrtopodium,parviflorum,Orchidaceae,Asparagales,43.99,43.63,12.38,CS/CSR
Dactylorhiza euxina,Dactylorhiza,euxina,Orchidaceae,Asparagales,35.33,0,64.67,R/CR
Dactylorhiza incarnata,Dactylorhiza,incarnata,Orchidaceae,Asparagales,58.16,0,41.84,CR
Dactylorhiza maculata,Dactylorhiza,maculata,Orchidaceae,Asparagales,49.8,0,50.2,CR
Dactylorhiza sambucina,Dactylorhiza,sambucina,Orchidaceae,Asparagales,40.29,0,59.71,CR
